                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7614,                 4.1084,                 3.7835,                 3.5838,                 5.8433,                 3.7229,                0.00029,                0.01837,                0.00022,                  8e-05,                  3.716,                 4.8686,                 3.3058,                 3.5386,                 7.6358,                 3.2517,             0.00036759,             0.00036759,             0.00036759
                      2,                  2.724,                 3.0156,                 2.5503,                 2.6098,                 3.6475,                 2.2364,                0.68248,                0.03221,                0.02494,                0.01053,                 2.7516,                 3.3968,                 2.3873,                 2.7667,                 4.2289,                  2.167,             0.00073062,             0.00073062,             0.00073062
                      3,                 2.3161,                 2.4675,                 2.1008,                 2.3021,                 3.0572,                 1.8421,                0.18423,                0.07007,                0.04997,                0.02326,                 2.5831,                 3.2494,                 2.1892,                 2.5941,                 3.8537,                   1.99,              0.0010863,              0.0010863,              0.0010863
                      4,                 2.1093,                 2.1533,                 1.8834,                 2.1446,                 2.6851,                 1.6794,                0.33514,                0.05803,                0.08319,                0.03741,                 2.3525,                 2.8544,                 1.9276,                 2.4345,                 3.3374,                 1.7707,               0.001078,               0.001078,               0.001078
                      5,                  2.003,                 1.9985,                 1.7817,                 2.0598,                 2.4935,                 1.6082,                0.28791,                0.08287,                0.07895,                0.04018,                 2.2747,                 2.5831,                 1.8682,                 2.3781,                 3.2219,                 1.7169,               0.001078,               0.001078,               0.001078
                      6,                   1.91,                 1.8323,                 1.6847,                 1.9788,                 2.2974,                 1.5368,                0.56993,                0.05097,                0.05634,                0.03095,                 2.4675,                 2.9907,                  2.063,                 2.4987,                 3.5226,                 1.8655,               0.001067,               0.001067,               0.001067
                      7,                 1.8381,                 1.7552,                 1.6359,                 1.9217,                 2.2029,                 1.5099,                0.30356,                0.02547,                0.02957,                  0.017,                 2.8925,                 3.7116,                 2.3239,                 2.7537,                 4.4541,                 2.0572,               0.001056,               0.001056,               0.001056
                      8,                 1.7983,                 1.6876,                 1.5991,                 1.8995,                 2.1222,                 1.4808,                0.25073,                0.18683,                0.14701,                0.06949,                 2.1288,                 2.1545,                 1.7029,                 2.2459,                 2.7315,                 1.5914,               0.001045,               0.001045,               0.001045
                      9,                  1.738,                 1.5832,                 1.5435,                 1.8497,                 2.0051,                 1.4407,                0.52909,                0.01837,                0.03782,                0.02052,                  2.693,                 4.3287,                 2.4857,                 2.8537,                 5.1467,                 2.3134,               0.001034,               0.001034,               0.001034
                     10,                 1.6999,                 1.5483,                  1.523,                 1.8175,                 1.9746,                 1.4342,                0.23241,                0.11505,                0.10865,                0.05925,                 2.2755,                 2.5991,                 1.8572,                  2.392,                 3.4566,                 1.7889,               0.001023,               0.001023,               0.001023
